name,url,ingredients
Daiquiri (Difford's recipe),https://www.diffordsguide.com/cocktails/recipe/611/daiquiri-diffords-recipe,"['Light white rum', 'Lime juice', 'Sugar syrup (2:1)', 'Daiquiri bittersoptional', 'Chilled water']"
Dry Martini 'Preferred' (5:1 ratio),https://www.diffordsguide.com/cocktails/recipe/676/dry-martini-preferred-51-ratio,"['Gin', 'Dry vermouth', 'Orange bittersoptional']"
Last Word,https://www.diffordsguide.com/cocktails/recipe/1133/last-word,"['Gin', 'Chartreuse Green', 'Maraschino liqueur', 'Lime juice', 'Chilled water']"
Margarita on-the-rocks (Difford's recipe),https://www.diffordsguide.com/cocktails/recipe/1255/margarita-on-the-rocks-diffords-recipe,"['Reposado tequila', 'Cointreau/Triple sec', 'Lime juice', 'Agave syrup', 'Saline solution 4:1', 'Margarita Bittersoptional']"
Martinez (Difford's recipe),https://www.diffordsguide.com/cocktails/recipe/1264/martinez-diffords-recipe,"['Oude genever', 'Rosso/sweet vermouth', 'Dry vermouth', 'Orange Curaçao', 'Aromatic bitters']"
Negroni Cocktail,https://www.diffordsguide.com/cocktails/recipe/1392/negroni-cocktail,"['Gin', 'Red bitter liqueur', 'Rosso/sweet vermouth']"
Poet's Dream,https://www.diffordsguide.com/cocktails/recipe/1576/poets-dream,"['Gin', 'Bénédictine D.O.M.', 'Dry vermouth']"
Santa Marta Daiquiri,https://www.diffordsguide.com/cocktails/recipe/3665/santa-marta-daiquiri,"['Light white rum', 'Lime juice', 'Sugar syrup (2:1)', 'Chilled water', 'Kirschwasser']"
Red Snapper,https://www.diffordsguide.com/cocktails/recipe/1665/red-snapper,"['Gin', 'Tomato juice', 'Lemon juice', 'Sugar syrup (2:1)', 'Worcestershire sauce', 'Hot pepper sauce', 'Black pepper', 'Celery salt']"
Difford's Fruit Cup No.1 (gin based & Pimm's Cup-like),https://www.diffordsguide.com/cocktails/recipe/2169/diffords-fruit-cup-no1-gin-based-and-pimms-cup-like,"['Gin', 'Orange Curaçao', 'Rosso/sweet vermouth', 'Aromatic bitters', 'Ginger ale', 'Cola']"
Damn It Jimmy,https://www.diffordsguide.com/cocktails/recipe/2371/damn-it-jimmy,"['Sake', 'Light white rum', 'Fino sherry', 'Dry vermouth', 'Sugar syrup (2:1)']"
Left Bank Martini,https://www.diffordsguide.com/cocktails/recipe/2464/left-bank-martini,"['Gin', 'Elderflower liqueur', 'Chardonnay wine', 'Dry vermouth']"
Mezcal Margarita,https://www.diffordsguide.com/cocktails/recipe/2497/mezcal-margarita,"['Mezcal', 'Cointreau/Triple sec', 'Lime juice', 'Agave syrup', 'Saline solution 4:1', 'Margarita Bittersoptional']"
Dry Martini (15:1 ratio) Montgomery's,https://www.diffordsguide.com/cocktails/recipe/2508/dry-martini-151-ratio-montgomerys,"['Gin', 'Dry vermouth', 'Orange bittersoptional']"
Penicillin cocktail,https://www.diffordsguide.com/cocktails/recipe/2539/penicillin-cocktail,"['Scotch whisky', 'Ginger liqueur', 'Peated whisk(e)y', 'Lemon juice', 'Honey syrup (3:1)']"
Clover Club (House-Made),https://www.diffordsguide.com/cocktails/recipe/2809/clover-club-house-made,"['Gin', 'Raspberry jam', 'Dry vermouth', 'Lemon juice', 'Egg white (pasteurised)']"
April Fool,https://www.diffordsguide.com/cocktails/recipe/3430/april-fool,['Chilled water']
Marsala Martini,https://www.diffordsguide.com/cocktails/recipe/3450/marsala-martini,"['Gin', 'Marsala semisecco (medium)', 'Amaretto liqueur', 'Dry vermouth', ""Boker's bitters""]"
New York Minute,https://www.diffordsguide.com/cocktails/recipe/3465/new-york-minute,"['Reposado tequila', 'Vermouth alla vaniglia', 'Maraschino liqueur', 'Sugar syrup (2:1)', 'Barrel-aged bitters']"
South Side Rickey,https://www.diffordsguide.com/cocktails/recipe/3488/south-side-rickey,"['Gin', 'Lime juice', 'Sugar syrup (2:1)', 'Mint leaves', 'Soda (club soda) water']"
Brooklyn (perfect),https://www.diffordsguide.com/cocktails/recipe/3620/brooklyn-perfect,"['Rye whiskey 50% abv', 'Dry vermouth', 'Rosso/sweet vermouth', 'Amer Picon', 'Maraschino liqueur', 'Chilled water']"
Naked & Famous,https://www.diffordsguide.com/cocktails/recipe/3640/naked-and-famous,"['Mezcal', 'Orange-red aperitivo', 'Chartreuse Yellow', 'Lime juice']"
Madurised Old Fashioned Godfather,https://www.diffordsguide.com/cocktails/recipe/3813/madurised-old-fashioned-godfather,"['Bourbon whiskey', 'Rye whiskey 50% abv', 'Scotch whisky', 'Amaretto liqueur', 'Verdelho madeira']"
Curtain Call,https://www.diffordsguide.com/cocktails/recipe/3917/curtain-call,"['Basil leaves', 'Light white rum', 'Lemon juice', 'Sugar syrup (2:1)', 'Red bitter liqueur', 'Brut sparkling wine']"
Scotch Whisky Fruit Cup (Difford's Cup No.2),https://www.diffordsguide.com/cocktails/recipe/4205/scotch-whisky-fruit-cup-diffords-cup-no2,"['Scotch whisky', 'Orange Curaçao', 'Rosso/sweet vermouth', 'Aromatic bitters', 'Ginger ale', 'Cola']"
Rum Fruit Cup (Difford's Cup No.4),https://www.diffordsguide.com/cocktails/recipe/4207/rum-fruit-cup-diffords-cup-no4,"['Light gold rum 1-3yo', 'Orange Curaçao', 'Rosso/sweet vermouth', 'Aromatic bitters', 'Ginger ale', 'Cola']"
Rye Whiskey Fruit Cup (Difford's Cup No.5),https://www.diffordsguide.com/cocktails/recipe/4208/rye-whiskey-fruit-cup-diffords-cup-no5,"['Rye whiskey 50% abv', 'Orange Curaçao', 'Rosso/sweet vermouth', 'Aromatic bitters', 'Ginger ale', 'Cola']"
